821000008,,Leighlinbridge,,52.736703431217,-6.97599383675735,,,,
821000014,,Carlow Institute of Further Education,,52.8326065725815,-6.93206660195956,,,,
821000015,,Carlow Institute of Further Education,,52.8325895346469,-6.93217090618287,,,,
821000017,,SETU Carlow Campus,,52.8264375735088,-6.93571984210315,,,,
821000018,,St Patrick's Park,,52.804379,-6.744251,,,,
821000019,,Carlow Train Station,,52.8406757429783,-6.92287337587765,,,,
8210000199,,Carlow College,,52.838602706909,-6.92719944532572,,,,
821000020,,Carlow Train Station,,52.8409119397224,-6.92314956224423,,,,
821000022,,Kernanstown,,52.8217340802385,-6.87785084568854,,,,
8210B1340201,134021,Hacketstown,,52.8652215308509,-6.55839857023041,,,,
8210B1340202,134022,Hacketstown,,52.86533977541,-6.55851347138918,,,,
8210B136061,136061,IT Carlow,,52.8299811805242,-6.93597455431291,,,,
8210B1360701,136071,Leighlinbridge Cross,,52.735531445787,-6.98709757456481,,,,
8210B136211,136211,Rathvilly,,52.8805507014169,-6.69556191940628,,,,
8210B136231,136231,Hacketstown,,52.8653749936502,-6.55845289325902,,,,
8210B153991,153991,Páirc Mhuire,,52.8048199890738,-6.73250639090103,,,,
8210B154001,154001,Páirc Mhuire,,52.8046580908354,-6.73249626766088,,,,
8210B335561,335561,Barrck Street,,52.8353868712984,-6.92542345782427,,,,
